OFFENSE_2023_OFFENSE_2023_Rank,OFFENSE_2023_OFFENSE_2023_Player,OFFENSE_2023_OFFENSE_2023_JerseyNumber,OFFENSE_2023_OFFENSE_2023_Position,OFFENSE_2023_OFFENSE_2023_GamesPlayed,OFFENSE_2023_OFFENSE_2023_OffenseTotalSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassingSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRushingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseOverallGrade,OFFENSE_2023_OFFENSE_2023_OffensePassingGrade,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRushingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffensePenalties
1.0,Jaylen Warren,#30,HB,18.0,547,288.0,67.0,155.0,37.0,78.5,72.2,25.1,84.4,77.8,1 (1)
2.0,Diontae Johnson,#18,WR,14.0,645,433.0,0.0,0.0,212.0,77.9,79.1,-,-,58.0,4 (1)
3.0,Najee Harris,#22,HB,18.0,606,241.0,50.0,271.0,44.0,76.2,58.5,58.8,77.2,56.7,0 (0)
4.0,George Pickens,#14,WR,18.0,987,617.0,0.0,4.0,366.0,74.1,74.7,-,68.6,61.8,5 (1)
5.0,Isaac Seumalo,#73,G,18.0,"1,104",0.0,631.0,0.0,473.0,73.9,-,66.4,-,73.1,1 (0)
6.0,Kenny Pickett,#08,QB,12.0,668,386.0,0.0,28.0,254.0,70.6,68.8,-,66.7,60.0,2 (0)
7.0,Nate Herbig,#71,G,3.0,156,0.0,91.0,0.0,65.0,67.6,-,48.5,-,71.9,0 (0)
8.0,Pat Freiermuth,#88,TE,13.0,518,324.0,16.0,0.0,178.0,65.8,68.8,77.5,-,54.4,3 (0)
9.0,Anthony McFarland Jr.,#26,HB,2.0,6,5.0,1.0,0.0,0.0,64.9,68.3,68.5,-,-,0 (0)
10.0,Mason Rudolph,#02,QB,5.0,265,130.0,0.0,8.0,127.0,64.8,64.8,-,58.2,60.0,1 (0)
11.0,James Daniels,#78,G,16.0,"1,010",0.0,576.0,0.0,434.0,61.1,-,60.5,-,58.6,3 (1)
12.0,Chukwuma Okorafor,#76,T,14.0,436,0.0,272.0,0.0,164.0,60.4,-,60.7,-,62.6,8 (5)
13.0,Spencer Anderson,#74,G,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
13.0,Minkah Fitzpatrick,#39,S,3.0,9,0.0,0.0,0.0,9.0,60.0,-,-,-,60.0,0 (0)
13.0,Qadree Ollison,#41,HB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
16.0,Broderick Jones,#77,T,15.0,832,0.0,450.0,0.0,382.0,57.3,-,47.6,-,61.2,2 (0)
17.0,Calvin Austin III,#19,WR,18.0,401,262.0,0.0,11.0,128.0,56.6,56.1,-,54.0,71.5,2 (0)
18.0,Connor Heyward,#83,TE,18.0,417,226.0,11.0,1.0,179.0,55.5,57.2,72.1,59.3,56.2,4 (1)
19.0,Dan Moore Jr.,#65,T,17.0,"1,017",0.0,580.0,0.0,437.0,54.4,-,42.1,-,60.5,3 (1)
20.0,Mason Cole,#61,C,18.0,"1,135",0.0,649.0,0.0,486.0,53.2,51.0,32.4,-,63.3,4 (0)
21.0,Allen Robinson II,#11,WR,18.0,795,439.0,6.0,0.0,350.0,52.8,51.6,61.3,-,57.8,0 (0)
22.0,Miles Boykin,#13,WR,17.0,131,38.0,1.0,0.0,92.0,50.9,52.3,68.5,-,53.8,1 (0)
23.0,Darnell Washington,#80,TE,18.0,532,153.0,43.0,0.0,336.0,47.4,43.8,66.7,-,53.2,2 (0)
24.0,Rodney Williams,#87,TE,13.0,57,16.0,1.0,0.0,40.0,45.8,33.0,66.3,-,62.6,0 (0)
25.0,Mitch Trubisky,#10,QB,5.0,202,133.0,0.0,8.0,61.0,43.3,44.2,-,51.0,60.0,0 (0)
26.0,Gunner Olszewski,#89,WR,2.0,5,3.0,0.0,0.0,2.0,28.1,29.9,-,-,59.9,0 (0)
,,,,,,,,,,,,,,,
