RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Josh Allen,#17,QB,19.0,494.0,131.0,666,5.1,18.0,8.0,92.1,91.6,59.8,60.0,399.0,3.05,28.0,52.0,20.0,3.0,26.0,58.0,483.0,183,0.0,0.0,0.0,66.0,9 (0),-,-,0.0,0.0,0,0.0,,0.0,10.1
2.0,Ty Johnson,#26,HB,10.0,63.0,45.0,198,4.4,0.0,1.0,78.7,79.1,52.2,77.8,135.0,3.0,9.0,15.0,5.0,19.0,26.0,0.0,0.0,186,1.0,15.0,7.6,14.0,0 (0),64.1,58.9,10.0,8.0,76,50.0,1.52,0.0,73.6
2.0,James Cook,#04,HB,19.0,311.0,273.0,"1,262",4.6,2.0,4.0,71.7,79.1,56.2,56.0,733.0,2.68,43.0,42.0,35.0,111.0,151.0,0.0,0.0,"1,262",10.0,242.0,19.2,62.0,0 (0),53.0,23.5,62.0,52.0,472,343.0,1.38,7.0,45.4
4.0,Damien Harris,#22,HB,6.0,33.0,23.0,94,4.1,1.0,0.0,76.5,75.9,78.8,60.0,62.0,2.7,2.0,11.0,1.0,5.0,18.0,0.0,0.0,94,0.0,0.0,0.0,9.0,0 (0),57.3,85.3,2.0,2.0,16,15.0,1.07,0.0,21.6
5.0,Latavius Murray,#28,HB,18.0,112.0,79.0,300,3.8,4.0,1.0,65.9,74.2,57.9,57.1,177.0,2.24,7.0,29.0,6.0,26.0,53.0,0.0,0.0,300,2.0,50.0,16.7,27.0,1 (0),52.7,64.3,27.0,22.0,159,198.0,0.8,3.0,20.0
6.0,Stefon Diggs,#14,WR,19.0,370.0,2.0,12,6.0,0.0,3.0,79.1,72.4,39.4,59.2,4.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,12,0.0,0.0,0.0,2.0,3 (0),79.0,-,175.0,117.0,"1,256",665.0,1.89,8.0,35.3
7.0,Khalil Shakir,#10,WR,19.0,289.0,1.0,10,10.0,0.0,0.0,76.7,63.1,82.9,56.6,5.0,5.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10,0.0,0.0,0.0,1.0,1 (0),76.9,69.9,56.0,49.0,686,393.0,1.75,1.0,60.0
8.0,Kyle Allen,#09,QB,7.0,38.0,13.0,-13,-1.0,0.0,0.0,64.8,63.0,74.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
9.0,Leonard Fournette,#05,HB,2.0,19.0,12.0,40,3.3,0.0,0.0,59.5,60.1,74.9,59.0,26.0,2.17,0.0,9.0,0.0,4.0,8.0,0.0,0.0,40,0.0,0.0,0.0,2.0,0 (0),55.1,76.4,0.0,0.0,0,6.0,0.0,0.0,0.0
10.0,Gabe Davis,#13,WR,17.0,367.0,1.0,-2,-2.0,0.0,1.0,67.9,59.5,36.2,49.8,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2,0.0,0.0,0.0,0.0,0 (0),68.7,65.3,78.0,45.0,746,555.0,1.34,4.0,0.0
11.0,Damar Hamlin,#03,S,1.0,1.0,1.0,2,2.0,0.0,0.0,56.1,57.0,61.9,-,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
12.0,Deonte Harty,#11,WR,18.0,42.0,4.0,0,0.0,0.0,0.0,68.9,51.6,62.8,71.8,10.0,2.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0 (0),69.7,-,23.0,17.0,187,127.0,1.47,0.0,71.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
