Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Terron Armstead,#72,T,11.0,585,0.0,364.0,0.0,221.0,79.3,-,79.5,-,72.6,3 (0),miami-dolphins
Jonotthan Harrison,#60,G,2.0,9,0.0,1.0,0.0,8.0,57.1,-,67.2,-,56.1,0 (0),miami-dolphins
Raheem Mostert,#31,HB,16.0,582,288.0,34.0,225.0,35.0,84.7,48.7,66.0,91.3,59.1,1 (0),miami-dolphins
Kendall Lamm,#70,T,13.0,613,0.0,357.0,0.0,256.0,64.3,-,67.1,-,55.3,0 (0),miami-dolphins
Tyler Kroft,#82,TE,6.0,43,14.0,3.0,0.0,26.0,56.6,49.1,54.8,-,65.1,1 (0),miami-dolphins
Robbie Chosen,#03,WR,9.0,135,69.0,0.0,0.0,66.0,64.5,67.8,-,-,47.4,1 (0),miami-dolphins
Tyreek Hill,#10,WR,17.0,735,521.0,0.0,6.0,208.0,93.4,93.8,-,55.6,55.6,3 (0),miami-dolphins
River Cracraft,#85,WR,11.0,208,96.0,0.0,0.0,112.0,66.7,68.1,-,-,51.7,0 (0),miami-dolphins
Connor Williams,#58,C,9.0,497,0.0,280.0,0.0,217.0,86.5,-,71.7,-,90.5,7 (0),miami-dolphins
Mike White,#14,QB,6.0,53,6.0,0.0,8.0,39.0,52.5,46.2,-,60.3,60.0,0 (0),miami-dolphins
Braxton Berrios,#00,WR,17.0,469,347.0,2.0,1.0,119.0,57.6,57.4,69.3,63.1,50.2,2 (1),miami-dolphins
Durham Smythe,#81,TE,17.0,839,449.0,86.0,0.0,304.0,53.7,53.4,61.2,-,50.2,1 (0),miami-dolphins
Isaiah Wynn,#77,G,7.0,392,0.0,224.0,0.0,168.0,47.8,-,67.5,-,43.2,3 (0),miami-dolphins
Lester Cotton,#66,G,11.0,616,0.0,362.0,0.0,254.0,46.4,-,57.2,-,45.4,5 (1),miami-dolphins
Alec Ingold,#30,FB,18.0,425,154.0,30.0,2.0,239.0,47.1,52.0,77.2,53.5,40.2,1 (0),miami-dolphins
Salvon Ahmed,#26,HB,8.0,135,95.0,4.0,22.0,14.0,61.0,58.8,36.4,64.4,57.4,0 (0),miami-dolphins
Tua Tagovailoa,#01,QB,18.0,"1,106",685.0,0.0,20.0,401.0,86.9,88.6,-,29.9,60.0,6 (0),miami-dolphins
Austin Jackson,#73,T,17.0,"1,050",0.0,639.0,0.0,411.0,66.9,-,62.3,-,69.5,9 (2),miami-dolphins
Darrynton Evans,#37,HB,1.0,5,2.0,0.0,2.0,1.0,32.7,57.5,-,38.0,60.0,0 (0),miami-dolphins
Robert Hunt,#68,G,11.0,608,0.0,376.0,0.0,232.0,76.4,-,74.4,-,74.7,2 (1),miami-dolphins
Chase Claypool,#83,WR,8.0,55,28.0,1.0,0.0,26.0,60.9,63.3,65.6,-,60.0,1 (0),miami-dolphins
Robert Jones,#65,G,8.0,479,0.0,304.0,0.0,175.0,57.6,-,49.3,-,62.3,4 (0),miami-dolphins
Jaylen Waddle,#17,WR,15.0,652,430.0,0.0,3.0,219.0,90.3,90.6,-,54.7,55.1,0 (0),miami-dolphins
Kion Smith,#71,T,5.0,70,0.0,22.0,0.0,48.0,60.3,-,86.1,-,56.9,1 (0),miami-dolphins
Liam Eichenberg,#74,C,17.0,876,0.0,526.0,0.0,350.0,45.2,-,43.2,-,49.1,7 (2),miami-dolphins
Tanner Conner,#80,TE,3.0,20,1.0,0.0,0.0,19.0,69.8,59.8,-,-,69.1,0 (0),miami-dolphins
Erik Ezukanma,#18,WR,2.0,29,14.0,0.0,4.0,11.0,60.3,55.5,-,66.2,54.1,0 (0),miami-dolphins
Chris Brooks,#35,HB,4.0,36,5.0,0.0,20.0,11.0,82.0,53.4,-,79.1,78.2,0 (0),miami-dolphins
Julian Hill,#89,TE,16.0,360,124.0,34.0,0.0,202.0,41.8,46.2,41.2,-,41.6,4 (0),miami-dolphins
De'Von Achane,#28,HB,12.0,323,195.0,1.0,114.0,13.0,92.1,77.7,65.7,93.1,77.2,0 (0),miami-dolphins
